TAlk,TCO2,pHin,pCO2in,fCO2in,HCO3in,CO3in,CO2in,BAlkin,OHin,PAlkin,SiAlkin,NH3Alkin,H2SAlkin,Hfreein,RFin,OmegaCAin,OmegaARin,xCO2in,pHout,pCO2out,fCO2out,HCO3out,CO3out,CO2out,BAlkout,OHout,PAlkout,SiAlkout,NH3Alkout,H2SAlkout,Hfreeout,RFout,OmegaCAout,OmegaARout,xCO2out,pHinTOTAL,pHinSWS,pHinFREE,pHinNBS,pHoutTOTAL,pHoutSWS,pHoutFREE,pHoutNBS,TEMPIN,TEMPOUT,PRESIN,PRESOUT,PAR1TYPE,PAR2TYPE,K1K2CONSTANTS,KSO4CONSTANT,KFCONSTANT,BORON,pHSCALEIN,SAL,PO4,SI,NH3,H2S,K0input,K1input,K2input,pK1input,pK2input,KWinput,KBinput,KFinput,KSinput,KP1input,KP2input,KP3input,KSiinput,KNH3input,KH2Sinput,K0output,K1output,K2output,pK1output,pK2output,KWoutput,KBoutput,KFoutput,KSoutput,KP1output,KP2output,KP3output,KSioutput,KNH3output,KH2Soutput,TB,TF,TS,PAR1,PAR2,KSO4CONSTANTS
2677.2730385643,2306.25599581682,8.1,406.311836812066,405,2015.90475190762,278.437592994722,11.91365091448,91.1824094891057,6.69929099476976,1.15575306797093,0.468995290960518,0.124856336508301,4.86991313862078,0.00627599206320736,9.5092355410489,6.79329066676746,4.44798457651462,418.405627178947,8.2394981915497,232.217819522441,231.346565708069,2030.52477625057,266.114571710051,9.61664785619756,104.588161570696,3.37845407622689,1.1393593690399,0.476603906088492,0.0793302207114979,4.86307840884027,0.00501589870494806,9.67416217908051,4.79771036324393,3.11185296535347,235.414821864657,8.1,8.09056960933707,8.20231761430553,8.23665954969998,8.2394981915497,8.23173018290867,8.29965124257732,8.35196205790001,24,12,1,1647,3,5,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,8.1,405,1
2637.30627990726,2270.42954388114,8.1,400,398.708541870344,1984.58875106811,274.11221408596,11.7285787270731,91.1824094891057,6.69929099476976,1.15575306797093,0.468995290960518,0.124856336508301,4.86991313862078,0.00627599206320736,9.47838203537431,6.68776053394635,4.37888751793562,411.905919809543,8.23928958798113,228.732490307901,227.874313036831,1999.08842732792,261.868803803561,9.47231274966553,104.55129394909,3.37683170160369,1.13929688708057,0.476385938203741,0.0792936357361251,4.86301442810607,0.00501830855758229,9.64232294359254,4.72116451851999,3.06220440471618,231.881509227978,8.1,8.09056960933707,8.20231761430553,8.23665954969998,8.23928958798113,8.2315215793401,8.29944263900875,8.35175345433144,24,12,1,1647,3,4,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,8.1,400,1
2421.41654317705,2100,8.06337390353404,406.311836812066,405,1852.86557338613,235.220775699394,11.91365091448,85.410047533684,6.15747625901398,1.14389019798493,0.432705908649358,0.115340753510954,4.85878968627711,0.00682823535872217,9.64374437255382,5.73889137239736,3.75760460767431,418.405627178947,8.20056460102582,233.500489174195,232.624422934881,1866.66744974546,223.662784242372,9.66976601216854,97.8522386648061,3.08876188396532,1.12802196002119,0.43752461308717,0.0727754158922657,4.85062031564383,0.00548633532213816,9.8219111410149,4.03235813407767,2.6154362533074,236.715150358826,8.06337390353404,8.05394351287111,8.16569151783957,8.20003345323402,8.20056460102582,8.19279659238479,8.26071765205344,8.31302846737612,24,12,1,1647,2,5,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2100,405,1
2425.63904730568,2100,8.06951565833496,400,398.708541870344,1850.06157752303,238.209843749898,11.7285787270729,86.3592752592967,6.24517339393316,1.14583832886065,0.438598374112872,0.11688747357778,4.86071737846797,0.00673235064267962,9.58784529362416,5.81181833556862,3.8053543689181,411.905919809543,8.2068828273183,229.784688817809,228.922563822283,1863.8822526395,226.601860768973,9.51588659152446,98.9253854813299,3.13402643713955,1.12981804514351,0.443651900590091,0.0738025551087487,4.85271424407309,0.00540709651483976,9.76248023503849,4.08534597994957,2.64980481097762,232.948193624919,8.06951565833496,8.06008526767203,8.17183327264049,8.20617520803494,8.2068828273183,8.19911481867727,8.26703587834592,8.3193466936686,24,12,1,1647,2,4,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2100,400,1
2447.1809373097,2100,8.1,369.974044014631,368.77952904737,1835.61581484653,253.536010897967,10.848174255498,91.1824094891057,6.69929099476976,1.15575306797093,0.468995290960518,0.124856336508301,4.86991313862078,0.00627599206320736,9.32075525235461,6.18574452536395,4.05018680823957,380.986247263757,8.23822455992675,212.139923403196,211.343999482174,1849.53062278738,241.684198952813,8.78517825981043,104.363195076047,3.36856078298404,1.13897818032335,0.475274575726095,0.079107102674804,4.86268732058726,0.00503063014664125,9.4796407711348,4.35726153023895,2.82617252545582,215.060508194632,8.1,8.09056960933707,8.20231761430553,8.23665954969998,8.23822455992675,8.23045655128572,8.29837761095437,8.35068842627706,24,12,1,1647,2,3,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2100,8.1,1
2250,1960.63045341141,8.03633706644376,406.311836812066,405,1741.03329695498,207.683505487624,11.9136509688081,81.3213478653393,5.78583319656327,1.13550709223304,0.407653992721613,0.108757762969059,4.84999141184231,0.00726683533449698,9.74294763558323,5.06703999376037,3.3177022515884,418.405627178947,8.17175460122204,234.485090971781,233.605330622886,1754.22135894542,196.69855393968,9.71054052630949,93.0582787603993,2.89050968953721,1.12004140281415,0.410595148579076,0.0682637586119853,4.84070119022045,0.00586262813337468,9.9315041329848,3.54622704276309,2.30012574818659,237.713307422151,8.03633706644376,8.02690667578083,8.1386546807493,8.17299661614374,8.17175460122204,8.16398659258101,8.23190765224966,8.28421846757235,24,12,1,1647,1,5,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2250,405,1
2250,1957.47491051453,8.04187993134566,400,398.708541870344,1736.00295580755,209.743375883649,11.7285788233243,82.1476321838089,5.86015055614613,1.1372003722665,0.412674106413454,0.110077837799292,4.8518374210225,0.0071746786553453,9.68703784549298,5.11729649176254,3.35060826708937,411.905919809543,8.17743945894581,230.773042063585,229.907208883488,1749.19848551879,198.719608534394,9.55681646134122,93.9912612554298,2.92859480246407,1.12158929399798,0.415780180061834,0.0691321061566065,4.84270763280791,0.00578638718180298,9.87191870786943,3.5826641101188,2.32375927074525,233.950153783585,8.04187993134566,8.03244954068273,8.1441975456512,8.17853948104564,8.17743945894581,8.16967145030478,8.23759250997343,8.28990332529612,24,12,1,1647,1,4,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2250,400,1
2250,1923.24577697734,8.1,338.833817972556,337.739843750498,1681.11445907448,232.196220129141,9.93509777371467,91.1824094891057,6.69929099476976,1.15575306797093,0.468995290960518,0.124856336508301,4.86991313862078,0.00627599206320736,9.1355525970161,5.66509858850805,3.70928794043623,348.919138636412,8.23697473165062,194.906421476651,194.175155618129,1694.39803139685,220.776244331758,8.07150124872841,104.142733695724,3.35888055337535,1.13860480262516,0.473973514789088,0.0788887395648767,4.86230248634433,0.00504512832665154,9.28846399741183,3.98031745718396,2.58168204089155,197.589748222442,8.1,8.09056960933707,8.20231761430553,8.23665954969998,8.23697473165062,8.22920672300959,8.29712778267824,8.34943859800093,24,12,1,1647,1,3,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2250,8.1,1
2250,2100,7.74898103609144,883.679509270347,880.826421554703,1953.82811577593,120.26112248912,25.9107617349469,46.6297843650378,2.98545052608406,1.06316914339987,0.214580514372182,0.0576352092573046,4.71723927278027,0.0140832000882093,13.2776501933838,2.93411802692823,1.92114725685077,909.982052707119,7.87382911997192,522.185146140155,520.225969185869,1967.28913122838,111.086039650004,21.6248291216143,53.1028126606474,1.45562313116761,1.05455746506779,0.211072564685049,0.0349692437433115,4.69330379384893,0.0116417382101368,13.8970093879325,2.00274130129651,1.29900222927621,529.374203115686,7.74898103609144,7.73955064542851,7.85129865039697,7.88564058579142,7.87382911997192,7.86606111133089,7.93398217099954,7.98629298632223,24,12,1,1647,1,2,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,2250,2100,1
2677.2730385643,2306.25599581682,8.1,406.311836812066,405,2015.90475190762,278.437592994722,11.91365091448,91.1824094891057,6.69929099476976,1.15575306797093,0.468995290960518,0.124856336508301,4.86991313862078,0.00627599206320736,9.5092355410489,6.79329066676746,4.44798457651462,418.405627178947,8.2394981915497,232.217819522441,231.346565708069,2030.52477625057,266.114571710051,9.61664785619756,104.588161570696,3.37845407622689,1.1393593690399,0.476603906088492,0.0793302207114979,4.86307840884027,0.00501589870494806,9.67416217908051,4.79771036324393,3.11185296535347,235.414821864657,8.1,8.09056960933707,8.20231761430553,8.23665954969998,8.2394981915497,8.23173018290867,8.29965124257732,8.35196205790001,24,12,1,1647,5,3,1,1,1,1,1,33.1,1,10,2,5,0.0294164220110624,1.34408005946255e-06,1.09712942298035e-09,5.87157486197618,8.95974213781198,5.32143598977974e-14,2.39869242990173e-09,0.00232572420242248,0.100513775287163,0.0239917211216221,1.04034480792447e-06,1.54846372993259e-09,3.9086771325309e-10,5.28903013159551e-10,2.97363581967333e-07,0.0415681461566708,1.21642794391117e-06,7.55026459236586e-10,5.91491361175462,9.12203782863691,1.94634502046859e-14,2.08819178349681e-09,0.00311728632065766,0.179745260631208,0.0269430931687254,9.64172571926017e-07,9.78430207273709e-10,2.88315212641313e-10,2.37951128048142e-10,2.04616731431134e-07,393.133428571429,64.6167226767131,26702.6534227906,405,8.1,1
