u_TAlk_,u_TCO2_,u_Hin_,u_pCO2in_,u_fCO2in_,u_HCO3in_,u_CO3in_,u_CO2in_,u_RFin_,u_OmegaCAin_,u_OmegaARin_,u_xCO2in_,u_Hout_,u_pCO2out_,u_fCO2out_,u_HCO3out_,u_CO3out_,u_CO2out_,u_RFout_,u_OmegaCAout_,u_OmegaARout_,u_xCO2out_
91.0624606123266,74.4934128505615,0.182900835111738,2.00647826924403,2,60.3684086751083,16.9447696615521,0.0806821100761889,0.12078489297703,0.518444636688604,0.339460328465685,2.06625247189582,0.182900895924027,2.00647744295235,1.99999917640907,60.3684083452594,16.9447707323862,0.0806820804222568,0.12078489297703,0.518444638388003,0.339460329578334,2.06625162277289
89.7063195519744,73.3688949591838,0.182900835111738,2,1.99354269754326,59.4603520630121,16.6842056860098,0.0799575142300462,0.119927275553973,0.510442705337971,0.334220931680369,2.05958227468825,0.182900898953611,1.99999914434273,1.99354184458712,59.4603517273902,16.684206781003,0.0799574836450209,0.119927275553973,0.510442706782381,0.334220932619041,2.05958139521594
8.48489009102406,2,0.147261722921525,2.00647826924403,2,7.53470789544025,7.36458785287738,0.0806821100761889,0.130062784467385,0.319582896815285,0.209253690144602,2.06625247189582,0.147261710475827,2.00647796844761,1.9999997002654,7.53470870265895,7.36458878378424,0.0806820977854348,0.130062784467385,0.319582883632239,0.209253681510324,2.0662521639996
8.56076250176827,2,0.14520706625861,2,1.99354269754326,7.60588137118693,7.43816217530345,0.0799575142300462,0.128145830978794,0.323369745580974,0.211733203677626,2.05958227468825,0.145207053849561,1.99999971181335,1.99354241042062,7.6058822168404,7.43816314686108,0.0799575024346893,0.128145830978794,0.323369731846471,0.211733194682184,2.05958197994692
11.2428893510182,2,0.182900835111738,11.6385287310694,11.6009518433937,9.15719435918351,9.28889798105794,0.337629645391924,0.138992789340403,0.364018733691691,0.238348631652548,11.9849552291175,0.182900813252664,11.6385283466832,11.6009514602408,9.15719444093728,9.28889805672997,0.337629632609625,0.138992789340403,0.364018704023833,0.238348612224945,11.9849548335465
2,6.28614360209592,0.147760076646544,2.00647826924403,2,11.389988421215,5.52236970423975,0.0806821100761889,0.13041554936655,0.270211401125325,0.176926332194926,2.06625247189582,0.147760044661677,2.00647787746214,1.99999960956922,11.3899891713194,5.52237059298853,0.0806820939053367,0.13041554936655,0.270211385131098,0.176926321720096,2.06625207075866
2,6.31860641280126,0.145905670739191,2,1.99354269754326,11.4535543252331,5.55566687617396,0.0799575142300462,0.128674421971913,0.272629954596527,0.178509920620003,2.05958227468825,0.145905638354069,1.99999961460015,1.99354231349643,11.453555109747,5.55566780177736,0.0799574984011756,0.128674421971913,0.272629937864945,0.178509909662225,2.05958188019456
2,9.13234598223764,0.182900835111738,11.7832544391331,11.7452095091354,16.0546019016773,7.48545039346274,0.3425001145797,0.144384252193695,0.318957515864122,0.208843719089751,12.1339514383172,0.182900797452345,11.7832542210236,11.745209291899,16.0546014602346,7.4854501723139,0.342500106615491,0.144384252193695,0.318957474055179,0.208843691710177,12.1339512143644
2,2,0.469112147734642,26.6423041279536,26.5563020500503,3.66278091035711,2.37388250477667,0.772273411532058,0.119835518540624,0.15006807434648,0.0982590262820342,27.4361160249531,0.469112147734642,26.6423041279536,26.5563020500503,3.66278091035711,2.37388250477667,0.772273411532058,0.119835518540624,0.15006807434648,0.0982590262820342,27.4361160249531
91.0624606123266,74.4934128505615,0.182900835111738,2.00647826924403,2,60.3684086751083,16.9447696615521,0.0806821100761889,0.12078489297703,0.518444636688604,0.339460328465685,2.06625247189582,0.182900895924027,2.00647744295235,1.99999917640907,60.3684083452594,16.9447707323862,0.0806820804222568,0.12078489297703,0.518444638388003,0.339460329578334,2.06625162277289
89.7063195519744,73.3688949591838,0.182900835111738,2,1.99354269754326,59.4603520630121,16.6842056860098,0.0799575142300462,0.119927275553973,0.510442705337971,0.334220931680369,2.05958227468825,0.182900898953611,1.99999914434273,1.99354184458712,59.4603517273902,16.684206781003,0.0799574836450209,0.119927275553973,0.510442706782381,0.334220932619041,2.05958139521594
8.48489009102406,2,0.147261722921525,2.00647826924403,2,7.53470789544025,7.36458785287738,0.0806821100761889,0.130062784467385,0.319582896815285,0.209253690144602,2.06625247189582,0.147261710475827,2.00647796844761,1.9999997002654,7.53470870265895,7.36458878378424,0.0806820977854348,0.130062784467385,0.319582883632239,0.209253681510324,2.0662521639996
8.56076250176827,2,0.14520706625861,2,1.99354269754326,7.60588137118693,7.43816217530345,0.0799575142300462,0.128145830978794,0.323369745580974,0.211733203677626,2.05958227468825,0.145207053849561,1.99999971181335,1.99354241042062,7.6058822168404,7.43816314686108,0.0799575024346893,0.128145830978794,0.323369731846471,0.211733194682184,2.05958197994692
11.2428893510182,2,0.182900835111738,11.6385287310694,11.6009518433937,9.15719435918351,9.28889798105794,0.337629645391924,0.138992789340403,0.364018733691691,0.238348631652548,11.9849552291175,0.182900813252664,11.6385283466832,11.6009514602408,9.15719444093728,9.28889805672997,0.337629632609625,0.138992789340403,0.364018704023833,0.238348612224945,11.9849548335465
2,6.28614360209592,0.147760076646544,2.00647826924403,2,11.389988421215,5.52236970423975,0.0806821100761889,0.13041554936655,0.270211401125325,0.176926332194926,2.06625247189582,0.147760044661677,2.00647787746214,1.99999960956922,11.3899891713194,5.52237059298853,0.0806820939053367,0.13041554936655,0.270211385131098,0.176926321720096,2.06625207075866
