dTAlk_dPt,dTCO2_dPt,dHin_dPt,dpCO2in_dPt,dfCO2in_dPt,dHCO3in_dPt,dCO3in_dPt,dCO2in_dPt,dRFin_dPt,dOmegaCAin_dPt,dOmegaARin_dPt,dxCO2in_dPt,dHout_dPt,dpCO2out_dPt,dfCO2out_dPt,dHCO3out_dPt,dCO3out_dPt,dCO2out_dPt,dRFout_dPt,dOmegaCAout_dPt,dOmegaARout_dPt,dxCO2out_dPt
1.15575306790573,0,0,0,0,0,0,0,-0.00364738355962442,0,0,0,-0.000288319475849651,-0.0129142067351054,-0.0128657538880375,-0.0112986863314303,0.0118334917260667,-0.000534805538521314,-0.00364095065030807,0.000213342589816558,0.000138376599068139,-0.0130919999321591
1.15575306790573,0,0,0,0,0,0,0,-0.00367831867187403,0,0,0,-0.000293078192825679,-0.0129235209840331,-0.0128750332066843,-0.0112966506549141,0.0118318415616172,-0.000535191261974492,-0.00367131289280605,0.00021331284028039,0.000138357303391971,-0.0131014424198398
1.14389019790918,0,0,0,0,0,0,0,-0.0039998052976391,0,0,0,-0.000346808253226565,-0.0141607080479405,-0.0141075784370075,-0.0104654252481862,0.011051850947298,-0.00058642588385289,-0.00398792379741097,0.000199250615118296,0.000129236373158662,-0.014355662102618
1.14583833101291,0,0,0,0,0,0,0,-0.00397054616740932,0,0,0,-0.000341826910776925,-0.013955116543231,-0.013902758297492,-0.0106017223515676,0.011179633787607,-0.000577911889010415,-0.00395960989330079,0.000201554375856028,0.000130730620107059,-0.0141472401935532
1.15575306790573,0,0,0,0,0,0,0,-0.00383049598440308,0,0,0,-0.000317870655131038,-0.0129650665030582,-0.0129164228326331,-0.0112809261736414,0.0118178382990677,-0.000536911752391293,-0.00382136794385743,0.000213060379117304,0.000138193553933534,-0.0131435598973454
0,-0.926603804600847,0.00393588996239246,0,0,-0.747850618381645,-0.178753187867662,0,-0.00357555846441965,-0.00436120118863007,-0.00285554624124305,0,0.00267937083897636,-0.00818679171743587,-0.0081560756655117,-0.761970183475653,-0.164294587790455,-0.000339032945717614,-0.00348456631549293,-0.00296201946925511,-0.0019212018633754,-0.00829950138836557
0,-0.926272022297883,0.00388622344971211,0,0,-0.745735193959345,-0.180536829788045,0,-0.00356473896268067,-0.00440471829410476,-0.00288403956227899,0,0.00264352905077232,-0.00811526879829306,-0.00808482110414932,-0.75996378177487,-0.165972169355673,-0.000336071025230959,-0.00347651007359711,-0.00299226409961084,-0.00194081889892694,-0.00822699377067783
0,-1.03602426429472,0,-0.18252480663252,-0.181935495390937,-0.905591678019946,-0.125080694942894,-0.00535189131056827,-0.00514652112571014,-0.00305170543857292,-0.00199813895651624,-0.187957620937616,-0.000242745460177245,-0.114095032273566,-0.113666958782245,-0.920625334629323,-0.110674005128443,-0.00472492475545091,-0.0051700721801501,-0.00199530953759486,-0.00129418204108958,-0.115665807896916
0,0,0.0978777340776668,5.07293515283947,5.05655635140612,0.512896732516367,-0.661642528257362,0.148745795552701,0.0259539966318585,-0.0161426837514984,-0.0105696063772432,5.2239300507614,0.0766498522999455,3.12223346634289,3.11051914877714,0.511785723574632,-0.641084237997873,0.129298514600876,0.0319065065941295,-0.0115579217774288,-0.00749660867804896,3.16521805609717
1.15575306790573,0,0,0,0,0,0,0,-0.00364738355962442,0,0,0,-0.000288319475849651,-0.0129142067351054,-0.0128657538880375,-0.0112986863314303,0.0118334917260667,-0.000534805538521314,-0.00364095065030807,0.000213342589816558,0.000138376599068139,-0.0130919999321591
1.15575306790573,0,0,0,0,0,0,0,-0.00367831867187403,0,0,0,-0.000293078192825679,-0.0129235209840331,-0.0128750332066843,-0.0112966506549141,0.0118318415616172,-0.000535191261974492,-0.00367131289280605,0.00021331284028039,0.000138357303391971,-0.0131014424198398
1.14389019790918,0,0,0,0,0,0,0,-0.0039998052976391,0,0,0,-0.000346808253226565,-0.0141607080479405,-0.0141075784370075,-0.0104654252481862,0.011051850947298,-0.00058642588385289,-0.00398792379741097,0.000199250615118296,0.000129236373158662,-0.014355662102618
1.14583833101291,0,0,0,0,0,0,0,-0.00397054616740932,0,0,0,-0.000341826910776925,-0.013955116543231,-0.013902758297492,-0.0106017223515676,0.011179633787607,-0.000577911889010415,-0.00395960989330079,0.000201554375856028,0.000130730620107059,-0.0141472401935532
1.15575306790573,0,0,0,0,0,0,0,-0.00383049598440308,0,0,0,-0.000317870655131038,-0.0129650665030582,-0.0129164228326331,-0.0112809261736414,0.0118178382990677,-0.000536911752391293,-0.00382136794385743,0.000213060379117304,0.000138193553933534,-0.0131435598973454
0,-0.926603804600847,0.00393588996239246,0,0,-0.747850618381645,-0.178753187867662,0,-0.00357555846441965,-0.00436120118863007,-0.00285554624124305,0,0.00267937083897636,-0.00818679171743587,-0.0081560756655117,-0.761970183475653,-0.164294587790455,-0.000339032945717614,-0.00348456631549293,-0.00296201946925511,-0.0019212018633754,-0.00829950138836557
0,-0.926272022297883,0.00388622344971211,0,0,-0.745735193959345,-0.180536829788045,0,-0.00356473896268067,-0.00440471829410476,-0.00288403956227899,0,0.00264352905077232,-0.00811526879829306,-0.00808482110414932,-0.75996378177487,-0.165972169355673,-0.000336071025230959,-0.00347651007359711,-0.00299226409961084,-0.00194081889892694,-0.00822699377067783
