dTAlk_dPAR2,dTCO2_dPAR2,dHin_dPAR2,dpCO2in_dPAR2,dfCO2in_dPAR2,dHCO3in_dPAR2,dCO3in_dPAR2,dCO2in_dPAR2,dRFin_dPAR2,dOmegaCAin_dPAR2,dOmegaARin_dPAR2,dxCO2in_dPAR2,dHout_dPAR2,dpCO2out_dPAR2,dfCO2out_dPAR2,dHCO3out_dPAR2,dCO3out_dPAR2,dCO2out_dPAR2,dRFout_dPAR2,dOmegaCAout_dPAR2,dOmegaARout_dPAR2,dxCO2out_dPAR2
6.35254305997763,5.69445925217874,0,1.00323912175293,1,4.97754259993673,0.68750023023361,0.0294164220083997,0.00482963612419905,0.0167735572026411,0.0109826779666995,1.03310033306893,-0.00043672599757343,0.553917477982765,0.551839233277617,4.99661609109591,0.674904226989148,0.022938933902721,0.00498387894271144,0.0121676525506722,0.0078920874749411,0.561543402123565
6.33203283520641,5.67607375823429,0,1,0.996771336299269,4.96147178876654,0.685280523148879,0.0293214462788996,0.00493144882690871,0.0167194010264327,0.0109472185934852,1.02976479947748,-0.000446046322085295,0.552265269941329,0.550193224153116,4.98061824527504,0.672585001075686,0.0228705123542962,0.00508868284382107,0.0121258398984441,0.00786496728051848,0.559868447690692
-0.662759992429355,0,0.0192878466170035,1.00323912175293,1,0.439728732700541,-0.469145154744468,0.0294164220083997,0.00890093992482061,-0.0114461533869489,-0.00749449953238547,1.03310033306893,0.0144721290757569,0.590919025158877,0.588701954187695,0.436716777002457,-0.461188026135384,0.024471248873135,0.00947199669334073,-0.00831462515477209,-0.00539296703110231,0.599054359094007
-0.676340868585897,0,0.0192284411764388,1,0.996771336299269,0.450255390645512,-0.479576836644635,0.0293214462788996,0.00888725329299318,-0.0117006644491659,-0.00766114355540518,1.02976479947748,0.0144185915080462,0.588640385446481,0.586431863761022,0.447190939481677,-0.471567824986585,0.0243768854227512,0.009446023889434,-0.0085017595360901,-0.00551434466681835,0.596744348813246
-39.4887378893376,0,0.999999999396927,51.959670950115,51.7919106477521,26.7061021989824,-28.2296348732421,1.52353270037221,0.464653930804043,-0.688743617169315,-0.450962742043387,53.5062401417798,0.747669044862841,30.4953565081116,30.3809408851787,26.5340616127587,-27.7969410223544,1.26287939103272,0.490600532826843,-0.501142987025485,-0.325047438258278,30.915193909583
0,0.497391381470011,0.0184928318696621,1.00323912175293,1,0.793124794969163,-0.325149835436498,0.0294164220083997,0.00888404436431496,-0.00793297096431145,-0.0051942032551152,1.03310033306893,0.0138883653506391,0.590217892957714,0.588003452557848,0.791932496868953,-0.318983328167446,0.0244422134568425,0.00947582060563852,-0.00575085790080814,-0.00373007639929809,0.598343574240833
0,0.505701790683854,0.0184524075124684,1,0.996771336299269,0.807272016318652,-0.330891671882612,0.0293214462788996,0.00888563821159129,-0.00807305967604878,-0.00528592793796128,1.02976479947748,0.0138500781672167,0.587980176208113,0.585774131510158,0.80602817260622,-0.324675926346765,0.0243495447130559,0.00946417443716487,-0.00585348810291928,-0.0037966435971609,0.596075050241148
0,33.209958860827,0.999999999396927,53.547943804881,53.375055498541,53.5441410881616,-21.9042853802684,1.57010315746344,0.490054613517078,-0.534418415660626,-0.349916555468581,55.1417876159655,0.746618995659684,31.3214360378804,31.2039210417449,53.4551668472079,-21.5422971481636,1.29708915050279,0.515283441610688,-0.388379826836963,-0.25190788071366,31.7526462897467
0,1,0.0961490187215118,5.39309201907619,5.37567953865825,1.43314935824015,-0.591282616116955,0.15813325790611,0.0326568797358546,-0.0144260501282548,-0.00944562092547583,5.55361632185113,0.0757523732670834,3.32753903578772,3.31505443158898,1.44151798176606,-0.579318648969916,0.137800667130134,0.0386745340361913,-0.0104443678884652,-0.00677434407808018,3.37335012002332
-403.735806940287,-323.893804310782,0.999999999396927,0,0,-253.787371994692,-70.1064323075641,0,0.20205964732756,-1.71044924919111,-1.11993616244389,0,0.770096381917266,1.8748475980828,1.86781335289638,-254.996199353984,-68.9752465157587,0.0776415384438581,0.221342556375084,-1.24353471290645,-0.806571743582109,1.90065910745742
