dTAlk_dKW,dTCO2_dKW,dHin_dKW,dpCO2in_dKW,dfCO2in_dKW,dHCO3in_dKW,dCO3in_dKW,dCO2in_dKW,dRFin_dKW,dOmegaCAin_dKW,dOmegaARin_dKW,dxCO2in_dKW,dHout_dKW,dpCO2out_dKW,dfCO2out_dKW,dHCO3out_dKW,dCO3out_dKW,dCO2out_dKW,dRFout_dKW,dOmegaCAout_dKW,dOmegaARout_dKW,dxCO2out_dKW
125892541179427,0,0,0,0,0,0,0,-3266291434379.31,0,0,0,890490098111.66,35664692249059.4,35530881777809.6,32350290241799.4,-33827243129513.7,1476952886811.61,-4146092568358.21,-609861554655.718,-395563623888.937,36155697224054.8
0,-86962113518670,377493264203.11,0,0,-70186062398683.1,-16776051092963,0,-3370342684428.91,-409300303136.578,-267994043674.393,0,1319968316710.59,39178428671610.4,39031435001274.5,-45400575923164,-43184001994024.5,1622464394834.82,-4242085981299.88,-778551846252.669,-504978199299.782,39717808157851.3
0,-87916245109629.6,376954209354.993,0,0,-70780762840871.3,-17135482240103.6,0,-3368112721635.25,-418069665888.02,-273735883996.359,0,1312745347143.88,38858449005793.8,38712655868231.2,-45570192008974.5,-43955266437432.1,1609213337228.44,-4241604946182.86,-792456749190.297,-513997088512.648,39393423249845.5
0,-112602399915469,0,-19362784776316.8,-19300268855774.5,-98176768939665,-13857886119881.1,-567744853607.342,-3535812701468.83,-338103225751.717,-221376944877.564,-19939114183130.9,955622178314.449,23895836034450.8,23806181171973.2,-67355747606210.4,-46236231125409.4,989578818386.173,-4454465171541.36,-833579599946.991,-540669869807.769,24224816144169.4
0,0,5286471560396.9,268108704199780,267243071360725,27107004982218.4,-34968339948297.6,7861334966719.83,-1938152127824.05,-853153823988.268,-558612200904.044,276088906031471,5571284962345.37,222916090775306,222079731190381,36539635527601.7,-45771078251813.5,9231442724561.27,-2687132854603.76,-825193493711.326,-535230539280.794,225985033829207
125892541183155,0,0,0,0,0,0,0,-3068688801004.82,0,0,0,821219406218.724,37005249895559.4,36866409781392.5,33796739690380.3,-35329207998406.4,1532468310064.58,-3899608616915.8,-636940043622.304,-413127061274.635,37514710671580.7
125892541183155,0,0,0,0,0,0,0,-3095097383342.15,0,0,0,830248282240.784,36831203852087.7,36693016741837.6,33608058047917.2,-35133318728777.9,1525260682855.48,-3932624638264.36,-633408412794.815,-410836402555.463,37338268491632.1
113225308496112,0,0,0,0,0,0,0,-3300304154393.18,0,0,0,947687781277.062,38009558074154.3,37866949893152.5,28090839883648.7,-29664898790326.6,1574058907667.99,-4161032015618.55,-534819855862.738,-346890665103.485,38532845418685
114837908611543,0,0,0,0,0,0,0,-3295090631184.4,0,0,0,939796683891.336,37687134597471.9,37545736118040.3,28630969872151.1,-30191676518562.5,1560706646527.9,-4157658930201.01,-544316978739.568,-353050614539.267,38205983055032.4
125892541179427,0,0,0,0,0,0,0,-3266291434379.31,0,0,0,890490098111.66,35664692249059.4,35530881777809.6,32350290241799.4,-33827243129513.7,1476952886811.61,-4146092568358.21,-609861554655.718,-395563623888.937,36155697224054.8
0,-86962113518670,377493264203.11,0,0,-70186062398683.1,-16776051092963,0,-3370342684428.91,-409300303136.578,-267994043674.393,0,1319968316710.59,39178428671610.4,39031435001274.5,-45400575923164,-43184001994024.5,1622464394834.82,-4242085981299.88,-778551846252.669,-504978199299.782,39717808157851.3
0,-87916245109629.6,376954209354.993,0,0,-70780762840871.3,-17135482240103.6,0,-3368112721635.25,-418069665888.02,-273735883996.359,0,1312745347143.88,38858449005793.8,38712655868231.2,-45570192008974.5,-43955266437432.1,1609213337228.44,-4241604946182.86,-792456749190.297,-513997088512.648,39393423249845.5
0,-112602399915469,0,-19362784776316.8,-19300268855774.5,-98176768939665,-13857886119881.1,-567744853607.342,-3535812701468.83,-338103225751.717,-221376944877.564,-19939114183130.9,955622178314.449,23895836034450.8,23806181171973.2,-67355747606210.4,-46236231125409.4,989578818386.173,-4454465171541.36,-833579599946.991,-540669869807.769,24224816144169.4
0,0,5286471560396.9,268108704199780,267243071360725,27107004982218.4,-34968339948297.6,7861334966719.83,-1938152127824.05,-853153823988.268,-558612200904.044,276088906031471,5571284962345.37,222916090775306,222079731190381,36539635527601.7,-45771078251813.5,9231442724561.27,-2687132854603.76,-825193493711.326,-535230539280.794,225985033829207
125892541181291,0,0,0,0,0,0,0,-4708414182024.64,0,0,0,815863814627.39,32440707332357.2,32318992940291.2,17566797925580.6,-18910238547046.8,1343440622179.64,-5552601386638.77,-340927205770.581,-221129533367.341,32887326879007.1
125892541179427,0,0,0,0,0,0,0,-4740531323146.12,0,0,0,823103295139.724,32220209619037.9,32099322512811,17428671153687.8,-18762980481895.2,1334309329736.15,-5588321885212.38,-338272332826.145,-219407550474.088,32663793517219.3
146450722166294,0,0,0,0,0,0,0,-4268759811380.83,0,0,0,680422421684.778,31910027213026.2,31790303881449.7,23583001501585.8,-24904465499834.9,1321463998118.1,-5066365263768.98,-448995384850.024,-291223869067.351,32349340750530.5
148536531905400,0,0,0,0,0,0,0,-4262014896226.2,0,0,0,675150583229.018,31657810626670.6,31539033587056.9,24050483858207.1,-25361503016621.7,1311019157788.49,-5060617885370.64,-457235181680.297,-296568301534.059,32093651833380.4
125892541179427,0,0,0,0,0,0,0,-4354550644412.25,0,0,0,739605968469.448,34723997396306.4,34593716319887.6,19010315288112.2,-20448311945584.9,1437996656089.48,-5155197895787.96,-368656684949.723,-239115210913.908,35202051583755.6
0,-112480720928466,377493264013.826,0,0,-90781819563580.6,-21698901330872.3,0,-4359350000588.85,-529407477572.199,-346635586580.519,0,1057482423864.18,32998719375399.8,32874911375918.9,-70277088952263.8,-43570181096593.2,1366549120959,-5165917758381.18,-785514157275.458,-509494038932.8,33453021217388.7
