dTAlk_dSit,dTCO2_dSit,dHin_dSit,dpCO2in_dSit,dfCO2in_dSit,dHCO3in_dSit,dCO3in_dSit,dCO2in_dSit,dRFin_dSit,dOmegaCAin_dSit,dOmegaARin_dSit,dxCO2in_dSit,dHout_dSit,dpCO2out_dSit,dfCO2out_dSit,dHCO3out_dSit,dCO3out_dSit,dCO2out_dSit,dRFout_dSit,dOmegaCAout_dSit,dOmegaARout_dSit,dxCO2out_dSit
0.0468995291157608,0,0,0,0,0,0,0,-0.00113058422215313,0,0,0,1.32431066409324e-05,0.000593176084369869,0.000590950543255508,0.000518971910423696,-0.000543536619564575,2.45647184963588e-05,-0.00119299943387806,-9.79926403725018e-06,-6.35592189250147e-06,0.000601342490350945
0.0468995291157608,0,0,0,0,0,0,0,-0.00114016412228556,0,0,0,1.30212818305603e-05,0.000574183997059641,0.000572029716749945,0.000501903120190623,-0.000525681366525512,2.37782148341609e-05,-0.00120287746980803,-9.47735685485859e-06,-6.14712893920432e-06,0.000582088936577422
0.0432705908679038,0,0,0,0,0,0,0,-0.00120683432598407,0,0,0,1.03622278757594e-05,0.000423105516726218,0.000421518061936376,0.000312694767975081,-0.000330216471411392,1.75217243973211e-05,-0.00127358610306767,-5.95337699138531e-06,-3.86143274392703e-06,0.000428930517652269
0.0438598381151661,0,0,0,0,0,0,0,-0.00120346898763534,0,0,0,1.06158346705831e-05,0.000433392472132238,0.000431766424450551,0.000329248890314666,-0.000347196608648409,1.79477298208509e-05,-0.00126965344608242,-6.25950692760071e-06,-4.05999234231997e-06,0.000439359096541601
0.0468995291157608,0,0,0,0,0,0,0,-0.00118754850018846,0,0,0,1.1742634361174e-05,0.000478949645336476,0.000477152671389055,0.000416734913718134,-0.000436569248070841,1.98343519978524e-05,-0.00125142532236088,-7.87078041260702e-06,-5.10508391116085e-06,0.000485543468660865
0,-0.0333182191904282,0.000141524515958238,0,0,-0.02689072157409,-0.0064274981468768,0,-0.00123773452204522,-0.000156817413395528,-0.000102677990702438,0,0.000117986592407244,0.000532895785454437,0.00053089641482982,-0.026857696548176,-0.00648259098738866,2.20683797162253e-05,-0.00130504995870709,-0.00011687275260167,-7.58050891983894e-05,0.000540232298362732
0,-0.0336661221505576,0.000141248340194498,0,0,-0.0271043553766493,-0.00656176732339469,0,-0.00123560877571071,-0.000160093298499451,-0.000104822913874847,0,0.000117980026577883,0.000540638812177935,0.000538610386987158,-0.0270614558000175,-0.00662705539677189,2.23890353367997e-05,-0.00130245576445508,-0.000119477259522915,-7.74944040789638e-05,0.000548081925444401
0,-0.0420410306560354,0,-0.00740670971784587,-0.00738279593785261,-0.0367481813100298,-0.0050756739104446,-0.000217175441008513,-0.00128521598104683,-0.000123835750069167,-8.10828703438411e-05,-0.00762716894845018,1.42210386281736e-05,-0.00372858375688627,-0.00371459447023867,-0.0365781243696485,-0.00530849747140847,-0.000154408805859886,-0.00135164339880584,-9.57053611176151e-05,-6.20756615591702e-05,-0.00377991612481296
0,0,0.00202084247552148,0.104738865570649,0.104400699001413,0.0105895739276695,-0.0136606689712451,0.00307109502012762,-0.000725958817919046,-0.000333291542868122,-0.000218226440606975,0.107856396910692,0.00157151012606006,0.0640134502683977,0.0637732780054018,0.01049286364226,-0.0131438005600628,0.00265093694077705,-0.000738112658756497,-0.000236965767867276,-0.000153698879964039,0.0648947398758512
0.0468995291157608,0,0,0,0,0,0,0,-0.00113058422215313,0,0,0,1.32431066409324e-05,0.000593176084369869,0.000590950543255508,0.000518971910423696,-0.000543536619564575,2.45647184963588e-05,-0.00119299943387806,-9.79926403725018e-06,-6.35592189250147e-06,0.000601342490350945
